Sched,Run,Distance,Flow1_Throughput,Flow2_Throughput
Qos,3,1300,4.771796,0.567439
Qos,3,1400,4.771796,0.567439
Qos,3,1500,5.476947,0.311925
Qos,3,1600,5.468651,0.311925
Qos,3,1700,2.747599,0
Qos,3,1800,1.368822,0
Qos,3,1900,1.171380,0
Qos,3,2000,1.171380,0
RR,1,100,12.521817,11.622542
RR,1,200,12.521817,7.580785
RR,1,300,12.521817,5.156725
RR,1,400,12.301146,3.406293
RR,1,500,12.521817,1.942898
RR,1,600,12.521817,1.131559
RR,1,700,12.521817,0.419772
RR,1,800,12.521817,0.419772
RR,1,900,12.521817,0.419772
RR,1,1000,12.410652,0.245558
RR,1,1100,6.654963,0.197442
RR,1,1200,3.738128,0.023228
RR,1,1300,2.523610,0
RR,1,1400,2.546838,0
RR,1,1500,2.546838,0
RR,1,1600,2.546838,0
RR,1,1700,2.546838,0
RR,1,1800,2.546838,0
RR,1,1900,2.546838,0
RR,1,2000,2.546838,0
RR,2,100,12.521817,11.622542
RR,2,200,12.521817,7.580785
RR,2,300,12.521817,5.156725
RR,2,400,12.196618,3.874181
RR,2,500,12.520158,2.633116
RR,2,600,12.508544,1.941238
RR,2,700,12.521817,1.131559
RR,2,800,12.521817,0.419772
RR,2,900,12.521817,0.419772
RR,2,1000,12.521817,0.247218
RR,2,1100,5.656138,0
RR,2,1200,2.563430,0
RR,2,1300,2.546838,0
RR,2,1400,2.546838,0
RR,2,1500,2.546838,0
RR,2,1600,2.546838,0
RR,2,1700,2.546838,0
RR,2,1800,2.546838,0
RR,2,1900,2.546838,0
RR,2,2000,2.546838,0
RR,3,100,7.549260,12.573252
RR,3,200,7.549260,11.622542
RR,3,300,7.549260,10.401387
RR,3,400,6.689806,7.693609
RR,3,500,7.549260,6.558731
RR,3,600,7.549260,3.991982
RR,3,700,7.549260,3.457727
RR,3,800,7.549260,2.633116
RR,3,900,7.549260,1.942898
RR,3,1000,7.549260,1.131559
RR,3,1100,7.549260,1.131559
RR,3,1200,7.549260,0.419772
RR,3,1300,7.549260,0.419772
RR,3,1400,7.549260,0.419772
RR,3,1500,7.549260,0.247218
RR,3,1600,6.575323,0.238922
RR,3,1700,3.396338,0.200761
RR,3,1800,2.331145,0.094573
RR,3,1900,1.670792,0
RR,3,2000,1.493260,0
